,date,temperature_2m_max,dew_point_2m_mean,et0_fao_evapotranspiration,soil_moisture_0_to_100cm_mean,wet_bulb_temperature_2m_mean
0,2018-01-01,7.3,2.7749996,0.73173714,0.39611796,4.06252
1,2018-01-02,12.25,4.8145833,0.46589598,0.39585876,5.601726
2,2018-01-03,12.0,2.4999998,1.8991134,0.40017962,5.2064104
3,2018-01-04,12.55,4.785417,0.94524354,0.40186962,6.1515117
4,2018-01-05,8.5,2.8500001,0.60844725,0.40437827,3.850745
5,2018-01-06,6.1,1.1374999,0.46972287,0.4019933,1.819942
6,2018-01-07,5.35,-0.9604166,0.97743005,0.40009332,0.9913669
7,2018-01-08,4.95,1.5291666,0.47467607,0.39849332,2.4690654
8,2018-01-09,7.35,3.8208334,0.22813292,0.39667085,4.2295117
9,2018-01-10,9.2,5.6020837,0.38562065,0.39563668,5.9780774
10,2018-01-11,7.85,4.6020827,0.22281154,0.39482006,4.7807856
11,2018-01-12,7.6,4.7104163,0.26396555,0.39391544,5.0097327
12,2018-01-13,7.2,3.1541665,0.44448906,0.39244422,4.065568
13,2018-01-14,6.5,1.3604168,0.4111685,0.39195254,2.1775577
14,2018-01-15,10.3,5.3520837,0.5731996,0.39587295,6.1400046
15,2018-01-16,6.85,0.81666666,1.1213201,0.39685377,2.7109802
16,2018-01-17,7.0,-1.3770837,1.4101775,0.39553085,1.4529592
17,2018-01-18,10.95,2.322917,1.365019,0.3950763,4.314825
18,2018-01-19,6.2,-0.32499996,0.6534058,0.39404166,0.90532047
19,2018-01-20,4.4,1.6729169,0.1566654,0.3953071,1.9392271
20,2018-01-21,10.45,3.26875,0.14109364,0.3991392,3.4128063
21,2018-01-22,10.15,5.441667,0.6198936,0.40241536,6.14394
22,2018-01-23,11.85,8.508333,0.3410724,0.40372252,8.861428
23,2018-01-24,12.7,7.5166664,0.6946894,0.40519878,8.249093
24,2018-01-25,9.6,3.7437499,0.85094804,0.40272665,4.914207
25,2018-01-26,7.35,2.0020835,0.47379202,0.4004028,2.6719067
26,2018-01-27,10.9,5.0624995,0.41463816,0.3981829,5.651896
27,2018-01-28,12.85,8.724999,0.74442387,0.3963096,9.376716
28,2018-01-29,11.45,5.341667,0.9816352,0.39431706,6.681212
29,2018-01-30,9.55,1.84375,0.53102463,0.39213708,2.4243758
30,2018-01-31,10.0,2.8312495,0.98058355,0.39205047,4.337711
31,2018-02-01,6.75,-0.3458333,1.0821924,0.39249876,1.6360054
32,2018-02-02,7.15,0.07499999,0.8448394,0.39102963,1.6692728
33,2018-02-03,4.0,1.0583333,0.2910275,0.39108709,1.5442227
34,2018-02-04,5.25,-0.9541667,0.8095304,0.39093003,0.5067573
35,2018-02-05,3.9,-1.4312501,0.54643023,0.39005545,-0.5307137
36,2018-02-06,3.6,-3.0145836,0.71210015,0.38829675,-1.3968043
37,2018-02-07,5.0,-2.75,0.88503927,0.38742328,-0.78227836
38,2018-02-08,6.1,-0.6375002,0.6642608,0.38597122,0.51239353
39,2018-02-09,6.05,0.5812502,0.9688736,0.38891587,2.2364857
40,2018-02-10,9.6,2.1583335,0.42353654,0.39013505,2.7758687
41,2018-02-11,9.75,-0.44166675,1.3546883,0.39023128,1.9432756
42,2018-02-12,6.25,-2.5395834,1.0554135,0.38837633,-0.40093184
43,2018-02-13,4.95,1.56875,0.586602,0.38778213,2.4106896
44,2018-02-14,7.65,1.6999998,0.5400731,0.38918248,2.321081
45,2018-02-15,9.2,2.960416,1.2740629,0.39178634,4.840507
46,2018-02-16,8.8,0.1541667,1.0388979,0.3902746,1.6019605
47,2018-02-17,9.35,1.0729169,1.0758369,0.38852796,2.455092
48,2018-02-18,9.75,2.8645833,0.81158715,0.3864821,3.8496401
49,2018-02-19,10.05,6.9750004,0.2462836,0.38716915,7.163646
50,2018-02-20,9.3,5.2708335,0.9363106,0.3887762,6.2241044
51,2018-02-21,6.05,1.1729167,0.7644834,0.3884479,2.4237974
52,2018-02-22,4.65,-1.7312502,0.9121096,0.38759914,0.26175836
53,2018-02-23,3.9,-3.2166665,1.129907,0.38579834,-0.5791603
54,2018-02-24,4.4,-3.716667,1.3259312,0.38442877,-1.187833
55,2018-02-25,3.35,-5.172917,1.3993826,0.38243803,-2.0629292
56,2018-02-26,1.5,-6.8104167,1.290018,0.38084796,-3.275772
57,2018-02-27,1.4,-7.6229157,0.9516701,0.3797029,-4.9376
58,2018-02-28,-0.7,-9.429166,1.1815466,0.37956002,-5.644013
59,2018-03-01,0.05,-6.356251,0.8855563,0.37892365,-4.0726857
60,2018-03-02,0.5,-3.3374996,0.61650145,0.377985,-2.1174166
61,2018-03-03,6.05,0.6937499,0.7733107,0.37841704,1.2512158
62,2018-03-04,9.0,3.85625,0.79932237,0.38108754,4.3355308
63,2018-03-05,9.95,4.3770833,1.0788405,0.38202372,5.2709265
64,2018-03-06,9.8,3.6708333,0.9320769,0.3834062,4.7243996
65,2018-03-07,9.6,2.5520833,1.1851001,0.38633248,3.4524775
66,2018-03-08,8.75,1.629167,1.5356162,0.38746706,3.552994
67,2018-03-09,10.1,4.0041666,0.7451531,0.38661957,4.7503815
68,2018-03-10,13.85,8.760418,0.9032097,0.3903108,9.280675
69,2018-03-11,11.85,6.5729165,0.9022571,0.39181542,7.074611
70,2018-03-12,10.15,6.747917,0.60188544,0.3966467,7.239696
71,2018-03-13,10.3,4.2375,0.9557428,0.3986263,5.2898364
72,2018-03-14,12.15,3.502083,1.9206922,0.39784288,5.4356346
73,2018-03-15,12.0,6.2291665,1.0754671,0.40099296,7.2206683
74,2018-03-16,12.0,5.1854167,1.4807725,0.4023758,6.501898
75,2018-03-17,5.35,-2.2125,0.8932167,0.39981666,-0.44454607
76,2018-03-18,0.9,-3.425,0.8370208,0.39837623,-1.8622156
77,2018-03-19,2.45,-5.0854173,1.3958077,0.39668918,-2.0541465
78,2018-03-20,6.95,-0.87916666,1.3616428,0.39602625,1.2893356
79,2018-03-21,8.95,-0.35624996,1.7143588,0.3953,1.5992082
80,2018-03-22,10.5,2.5874999,1.4762412,0.39310718,4.253532
81,2018-03-23,11.3,3.614583,1.7312533,0.39097795,5.5305443
82,2018-03-24,9.5,5.668751,0.7609371,0.3916179,6.30631
83,2018-03-25,10.9,4.6145835,1.1248705,0.3914758,5.751761
84,2018-03-26,11.65,1.6270834,1.7828846,0.3890146,4.0282855
85,2018-03-27,13.65,5.0104165,1.1582174,0.38981876,6.253593
86,2018-03-28,8.2,3.5020835,0.7179614,0.39594042,4.0807095
87,2018-03-29,9.2,2.4583333,1.1897278,0.4015733,3.2829883
88,2018-03-30,7.9,3.8708336,0.66131616,0.405355,4.23091
89,2018-03-31,8.65,3.1666667,0.9432843,0.40875092,4.030831
90,2018-04-01,7.35,1.5499998,1.1294881,0.4076854,3.294564
91,2018-04-02,11.15,6.5958323,0.8688976,0.4133971,7.2095866
92,2018-04-03,13.75,7.5874996,1.4947147,0.413543,8.563004
93,2018-04-04,11.9,5.99375,1.8350488,0.4109321,7.376042
94,2018-04-05,11.5,0.9104166,2.6948626,0.4073809,3.7956135
95,2018-04-06,15.4,4.6541667,2.3556938,0.40272078,6.527369
96,2018-04-07,17.3,8.339583,1.6938895,0.39885923,9.370595
97,2018-04-08,11.65,8.758333,0.59987575,0.3989425,9.059864
98,2018-04-09,9.65,7.814583,0.54644454,0.40079582,8.049487
99,2018-04-10,14.7,8.45,1.4721373,0.4047408,9.064938
100,2018-04-11,12.55,8.15625,1.333016,0.40373254,8.812965
101,2018-04-12,11.7,7.75625,0.7468305,0.40108752,8.211235
102,2018-04-13,11.75,6.2395835,1.0635066,0.3995042,7.1387315
103,2018-04-14,16.8,7.4208336,2.3221402,0.39755878,8.809882
