date,temperature_2m_max,dew_point_2m_mean,et0_fao_evapotranspiration,snowfall_sum,cloud_cover_mean (%)
2026-06-02,19.8,12.477081,3.418917,0.0,75.666664
2026-06-03,19.05,11.527084,2.638592,0.0,66.416664
2026-06-04,17.75,10.208333,3.4016988,0.0,59.833332
2026-06-05,17.65,8.1125,3.6962326,0.0,55.541668
2026-06-06,16.9,10.497916,2.4235501,0.0,94.166664
2026-06-07,18.65,10.10625,3.2614787,0.0,74.958336
2026-06-08,16.9,10.447915,2.1308143,0.0,71.291664
2026-06-09,17.15,6.539583,4.124744,0.0,27.833334
2026-06-10,16.9,7.789583,3.4776745,0.0,38.75
2026-06-11,16.85,10.79375,1.2620507,0.0,92.041664
2026-06-12,20.85,13.308333,2.9477057,0.0,78.291664
2026-06-13,19.85,9.508332,4.852924,0.0,47.125
2026-06-14,20.5,8.6520815,4.444882,0.0,63.125
2026-06-15,22.25,11.16875,4.2951303,0.0,95.083336
2026-06-16,26.0,13.220833,4.5372896,0.0,77.083336
2026-06-17,25.3,15.514583,4.043592,0.0,73.041664
2026-06-18,25.5,15.352081,3.9222503,0.0,73.375
2026-06-19,29.9,15.395835,6.2182765,0.0,2.7083333
2026-06-20,25.65,15.491669,3.9588995,0.0,67.75
2026-06-21,30.7,15.906247,5.363548,0.0,48.208332
2026-06-22,28.6,15.7145815,5.995314,0.0,57.291668
2026-06-23,33.5,18.127085,5.817694,0.0,38.958332
2026-06-24,34.65,20.077084,6.637163,0.0,0.25
2026-06-25,31.7,18.604168,6.539206,0.0,11.125
2026-06-26,36.0,15.716666,7.777001,0.0,38.791668
2026-06-27,32.35,14.360417,5.786988,0.0,69.208336
2026-06-28,26.1,11.675,5.4854236,0.0,46.916668
2026-06-29,24.35,8.052083,5.4212937,0.0,51.583332
2026-06-30,25.35,9.758334,4.9458027,0.0,77.291664
2026-07-01,25.3,11.564584,4.6209483,0.0,46.375
2026-07-02,25.9,9.679167,6.3165827,0.0,40.541668
2026-07-03,25.95,8.414584,5.9469023,0.0,43.333332
2026-07-04,29.45,13.006252,5.7491765,0.0,36.583332
2026-07-05,27.9,13.5270815,5.461118,0.0,66.5
2026-07-06,31.55,9.622916,7.6956296,0.0,58.416668
2026-07-07,31.0,10.029166,6.9945393,0.0,64.958336
2026-07-08,32.65,12.866666,6.36191,0.0,5.0
2026-07-09,34.65,12.904166,6.5477633,0.0,48.958332
2026-07-10,30.45,13.59375,6.2294483,0.0,62.708332
2026-07-11,29.15,14.743751,6.383502,0.0,4.0
2026-07-12,29.15,12.310416,6.2910156,0.0,34.791668
2026-07-13,26.6,12.679166,5.859373,0.0,48.208332
2026-07-14,29.55,13.527081,5.273801,0.0,53.541668
2026-07-15,28.35,13.218751,5.8616776,0.0,19.916666
2026-07-16,28.5,11.985415,5.6124396,0.0,18.791666
2026-07-17,27.75,11.660417,5.4513555,0.0,13.0
2026-07-18,22.85,10.272916,4.9403725,0.0,34.333332
2026-07-19,22.95,6.1416664,5.4652963,0.0,21.75
2026-07-20,25.95,7.025,5.3928175,0.0,36.0
2026-07-21,22.85,11.241666,3.4954283,0.0,44.625
2026-07-22,27.15,11.160416,4.531191,0.0,56.0
2026-07-23,26.25,11.810416,4.0156775,0.0,87.666664
2026-07-24,28.5,11.247917,5.0272574,0.0,92.5
2026-07-25,28.4,10.429167,5.9970875,0.0,37.041668
2026-07-26,26.05,12.093749,5.027398,0.0,58.708332
2026-07-27,27.3,10.66875,5.420944,0.0,27.5
2026-07-28,29.9,15.008335,4.7006264,0.0,57.625
2026-07-29,33.5,13.122914,6.700458,0.0,0.125
2026-07-30,27.7,13.700001,4.9066477,0.0,56.5
2026-07-31,25.2,6.8624988,5.014539,0.0,49.333332
2026-08-01,26.4,4.8854165,5.7523565,0.0,47.208332
2026-08-02,28.2,8.116668,5.5461636,0.0,74.291664
2026-08-03,31.25,12.277085,5.894534,0.0,39.708332
2026-08-04,29.7,14.577084,4.9249134,0.0,41.833332
2026-08-05,24.9,11.570832,5.4925847,0.0,22.833334
2026-08-06,22.25,6.5062504,4.5378017,0.0,28.791666
2026-08-07,25.9,6.2645836,5.0354366,0.0,5.0416665
2026-08-08,27.55,7.447916,5.2864394,0.0,53.541668
2026-08-09,32.2,6.700001,5.706454,0.0,30.666666
2026-08-10,26.35,11.34375,5.176373,0.0,44.291668
2026-08-11,25.3,12.100001,5.047928,0.0,24.708334
2026-08-12,32.8,10.931251,5.6856365,0.0,12.708333
2026-08-13,36.2,10.158334,6.2483654,0.0,0.625
2026-08-14,33.9,12.852084,5.841429,0.0,23.041666
2026-08-15,27.3,14.8479185,4.5847006,0.0,67.375
2026-08-16,25.15,15.460418,2.7690096,0.0,78.333336
2026-08-17,26.3,13.143749,3.8712842,0.0,69.791664
2026-08-18,23.8,14.552083,2.55359,0.0,98.791664
2026-08-19,23.8,11.900002,3.744768,0.0,55.208332
2026-08-20,22.1,11.579166,3.7095015,0.0,31.958334
2026-08-21,21.1,9.666669,3.8284533,0.0,17.166666
2026-08-22,22.2,6.96875,4.0870194,0.0,25.791666
2026-08-23,24.8,7.975,4.3725023,0.0,39.416668
2026-08-24,21.75,9.770833,3.9506154,0.0,46.375
2026-08-25,25.3,11.177083,4.883191,0.0,24.958334
2026-08-26,26.7,15.7541685,3.5925765,0.0,80.458336
2026-08-27,23.05,17.183332,2.3535018,0.0,90.458336
2026-08-28,23.35,13.793751,3.4766068,0.0,31.166666
2026-08-29,20.15,15.89375,1.7102634,0.0,71.791664
2026-08-30,21.4,13.877084,3.2004318,0.0,68.833336
2026-08-31,22.1,12.329166,3.4181921,0.0,61.583332
2026-09-01,20.75,11.072917,2.9965353,0.0,63.333332
