,Unnamed: 0,date,temperature_2m_max,dew_point_2m_mean,et0_fao_evapotranspiration,snowfall_sum,cloud_cover_mean (%)
0,0,2018-06-01,21.25,15.062499,2.5770054,0.0,97.125
1,1,2018-06-02,22.55,13.720834,3.2631116,0.0,62.0
2,2,2018-06-03,24.15,13.749999,4.288788,0.0,45.333332
3,3,2018-06-04,18.55,13.312501,1.9970025,0.0,98.833336
4,4,2018-06-05,17.45,10.150001,2.8560078,0.0,92.75
5,5,2018-06-06,21.05,9.495833,4.3888917,0.0,65.333336
6,6,2018-06-07,19.8,11.781249,2.3960443,0.0,88.875
7,7,2018-06-08,20.45,11.85625,3.5730531,0.0,66.583336
8,8,2018-06-09,20.25,11.95,3.1159105,0.0,80.583336
9,9,2018-06-10,21.95,12.537501,3.5720422,0.0,69.125
10,10,2018-06-11,22.3,10.650001,4.643109,0.0,23.708334
11,11,2018-06-12,17.8,10.037501,2.8442762,0.0,41.375
12,12,2018-06-13,19.8,9.272917,3.7538273,0.0,62.791668
13,13,2018-06-14,21.4,11.335416,3.3462138,0.0,71.583336
14,14,2018-06-15,20.85,9.458334,3.9982963,0.0,77.875
15,15,2018-06-16,18.9,9.804166,2.9926322,0.0,91.625
16,16,2018-06-17,17.9,10.568751,2.6247125,0.0,89.583336
17,17,2018-06-18,23.5,13.591666,4.1332173,0.0,87.541664
18,18,2018-06-19,22.8,15.029167,3.0344787,0.0,74.041664
19,19,2018-06-20,23.9,14.274999,3.801424,0.0,80.916664
20,20,2018-06-21,18.55,4.7791667,4.8595576,0.0,57.041668
21,21,2018-06-22,20.6,6.5166664,4.9247556,0.0,3.7916667
22,22,2018-06-23,22.4,7.6041665,4.985317,0.0,67.333336
23,23,2018-06-24,23.95,9.208333,5.090145,0.0,83.666664
24,24,2018-06-25,27.45,10.435416,5.675898,0.0,4.0
25,25,2018-06-26,26.1,11.364582,5.6629696,0.0,0.375
26,26,2018-06-27,24.5,10.704166,5.296847,0.0,26.541666
27,27,2018-06-28,26.55,12.025001,5.6393876,0.0,17.583334
28,28,2018-06-29,26.35,11.4958315,5.911873,0.0,2.125
29,29,2018-06-30,25.9,10.779167,5.8823867,0.0,23.208334
30,30,2018-07-01,28.5,11.339583,6.5164227,0.0,62.958332
31,31,2018-07-02,26.9,8.63125,7.234105,0.0,12.916667
32,32,2018-07-03,24.85,8.781249,6.3546076,0.0,13.166667
33,33,2018-07-04,24.65,12.224999,4.3649926,0.0,48.208332
34,34,2018-07-05,27.7,14.51875,4.7706356,0.0,38.125
35,35,2018-07-06,28.4,14.266667,5.3834653,0.0,40.5
36,36,2018-07-07,29.0,14.354165,5.8110223,0.0,32.916668
37,37,2018-07-08,29.4,12.793751,5.268217,0.0,32.083332
38,38,2018-07-09,27.6,13.70625,4.1697335,0.0,54.791668
39,39,2018-07-10,21.0,10.202084,3.8552876,0.0,66.375
40,40,2018-07-11,22.1,11.779166,3.5000527,0.0,67.625
41,41,2018-07-12,22.8,12.522918,3.5636604,0.0,53.5
42,42,2018-07-13,25.15,14.197917,4.0675335,0.0,50.833332
43,43,2018-07-14,25.15,14.120833,4.370253,0.0,42.208332
44,44,2018-07-15,27.85,11.5354185,5.6960225,0.0,8.25
45,45,2018-07-16,27.45,11.145833,5.119849,0.0,37.416668
46,46,2018-07-17,23.65,10.283334,4.4938264,0.0,57.708332
47,47,2018-07-18,23.1,11.635418,3.5020404,0.0,80.125
48,48,2018-07-19,26.65,11.0270815,4.540957,0.0,77.458336
49,49,2018-07-20,24.3,12.477084,3.244477,0.0,81.541664
50,50,2018-07-21,25.7,13.729168,4.2422605,0.0,66.083336
51,51,2018-07-22,27.4,14.102082,3.990523,0.0,62.083332
52,52,2018-07-23,29.95,14.385415,5.7474346,0.0,17.375
53,53,2018-07-24,28.0,15.270833,5.1636434,0.0,32.0
54,54,2018-07-25,29.55,14.2145815,5.134822,0.0,29.541666
55,55,2018-07-26,32.7,15.7770815,5.959316,0.0,34.666668
56,56,2018-07-27,30.85,16.729164,4.5808487,0.0,61.041668
57,57,2018-07-28,21.1,11.400001,4.5670314,0.0,58.791668
58,58,2018-07-29,20.2,15.041667,1.9544668,0.0,93.625
59,59,2018-07-30,22.8,14.891666,3.3592267,0.0,71.791664
60,60,2018-07-31,23.1,12.529168,3.8437304,0.0,56.583332
61,61,2018-08-01,24.4,11.895833,4.4957023,0.0,62.166668
62,62,2018-08-02,28.3,14.747916,4.807498,0.0,17.708334
63,63,2018-08-03,30.25,16.670835,5.195343,0.0,22.166666
64,64,2018-08-04,27.7,14.406249,5.223984,0.0,41.916668
65,65,2018-08-05,27.8,13.514584,5.107995,0.0,4.625
66,66,2018-08-06,30.2,13.356251,5.343665,0.0,18.125
67,67,2018-08-07,29.7,14.960415,4.7254586,0.0,46.875
68,68,2018-08-08,22.7,9.708332,4.5112233,0.0,69.708336
69,69,2018-08-09,17.25,12.470834,1.2021164,0.0,83.75
70,70,2018-08-10,18.4,9.729166,2.5472329,0.0,38.125
71,71,2018-08-11,21.1,9.924999,3.3697085,0.0,56.666668
72,72,2018-08-12,20.85,14.354167,1.947733,0.0,96.916664
73,73,2018-08-13,22.7,14.533332,2.9814627,0.0,61.416668
74,74,2018-08-14,23.45,12.806248,3.257749,0.0,50.041668
75,75,2018-08-15,23.9,14.518752,2.9682462,0.0,60.916668
76,76,2018-08-16,19.45,13.162499,1.8343098,0.0,75.875
77,77,2018-08-17,20.85,10.166667,3.3996718,0.0,56.875
78,78,2018-08-18,21.8,13.247914,2.764134,0.0,76.75
79,79,2018-08-19,26.6,15.525001,3.150665,0.0,53.625
80,80,2018-08-20,24.2,16.275,2.6536424,0.0,66.0
81,81,2018-08-21,25.2,15.708333,2.8901067,0.0,57.291668
82,82,2018-08-22,24.15,15.314583,2.7331495,0.0,68.666664
83,83,2018-08-23,21.9,13.691667,2.9043937,0.0,84.458336
84,84,2018-08-24,18.0,7.702083,3.2838938,0.0,52.083332
85,85,2018-08-25,18.0,7.210417,3.01367,0.0,30.708334
86,86,2018-08-26,17.95,11.933333,0.9534277,0.0,93.875
87,87,2018-08-27,19.25,11.706249,2.6759574,0.0,66.291664
88,88,2018-08-28,19.9,11.737499,2.4829433,0.0,85.458336
89,89,2018-08-29,19.6,11.466667,1.9871217,0.0,85.916664
90,90,2018-08-30,19.0,9.006249,2.9142685,0.0,88.791664
91,91,2018-08-31,19.65,10.793751,2.4134786,0.0,43.5
92,92,2018-09-01,22.35,10.379166,3.4835284,0.0,12.375
93,93,2018-09-02,22.35,9.247918,3.5752363,0.0,17.458334
94,94,2018-09-03,22.4,10.795834,2.9862394,0.0,78.333336
95,95,2018-09-04,20.55,11.079166,2.8305953,0.0,43.666668
96,96,2018-09-05,20.05,11.977084,2.053856,0.0,75.583336
97,97,2018-09-06,20.95,9.904166,2.9602218,0.0,50.916668
98,98,2018-09-07,17.85,6.2770824,2.9689398,0.0,29.833334
99,99,2018-09-08,18.8,9.54375,1.8910226,0.0,88.25
100,100,2018-09-09,22.5,12.2,2.9212918,0.0,74.208336
101,101,2018-09-10,20.95,10.827084,3.2154403,0.0,71.208336
102,102,2018-09-11,22.75,15.481252,2.088741,0.0,84.875
103,103,2018-09-12,16.45,10.287499,1.2791001,0.0,89.875
104,104,2018-09-13,19.25,7.0562496,3.02022,0.0,31.5
105,105,2018-09-14,17.25,8.810417,1.9062445,0.0,61.458332
106,106,2018-09-15,19.9,10.329165,2.3180418,0.0,75.458336
107,107,2018-09-16,22.0,12.212501,2.9728985,0.0,58.0
108,108,2018-09-17,23.35,12.408333,3.6243916,0.0,43.958332
109,109,2018-09-18,23.15,13.556249,3.1135793,0.0,65.791664
110,110,2018-09-19,22.1,14.295835,3.0354326,0.0,72.125
111,111,2018-09-20,20.3,14.587499,2.4308949,0.0,98.25
112,112,2018-09-21,17.75,7.0,3.0830722,0.0,44.541668
113,113,2018-09-22,13.3,8.683333,0.9645634,0.0,95.75
114,114,2018-09-23,13.7,6.331249,1.1915292,0.0,65.0
115,115,2018-09-24,14.6,4.258333,2.1507542,0.0,15.291667
116,116,2018-09-25,16.15,5.1375,2.1841924,0.0,25.666666
117,117,2018-09-26,19.9,7.4541664,2.486649,0.0,0.20833333
118,118,2018-09-27,21.2,8.118751,2.6760328,0.0,19.791666
119,119,2018-09-28,15.75,6.1375003,2.26021,0.0,56.041668
120,120,2018-09-29,16.1,5.6666665,2.0080845,0.0,71.625
121,121,2018-09-30,14.9,5.8333325,1.8189455,0.0,49.208332
122,122,2018-10-01,13.45,3.8916664,2.1799974,0.0,47.875
123,123,2018-10-02,19.1,10.474999,1.9501997,0.0,67.166664
124,124,2018-10-03,17.4,10.572918,1.3959576,0.0,55.541668
125,125,2018-10-04,18.5,11.145833,1.5412285,0.0,31.041666
126,126,2018-10-05,21.35,11.554166,1.8196566,0.0,57.083332
127,127,2018-10-06,12.95,9.012499,0.6190956,0.0,91.458336
128,128,2018-10-07,13.6,4.6583333,1.6926926,0.0,66.541664
129,129,2018-10-08,15.95,7.5708327,1.573091,0.0,94.125
130,130,2018-10-09,19.45,9.556251,1.9943825,0.0,44.25
131,131,2018-10-10,22.2,12.418751,2.0664241,0.0,2.4583333
132,132,2018-10-11,20.85,13.479168,1.89718,0.0,60.875
133,133,2018-10-12,20.8,11.860416,3.117227,0.0,91.958336
134,134,2018-10-13,22.8,14.51875,3.4131145,0.0,82.583336
135,135,2018-10-14,18.0,11.922916,0.58679914,0.0,92.083336
136,136,2018-10-15,15.95,12.002083,0.58339816,0.0,92.958336
137,137,2018-10-16,20.1,12.702085,1.6397116,0.0,74.083336
138,138,2018-10-17,15.75,11.575,0.46915796,0.0,94.5
139,139,2018-10-18,15.15,8.483335,1.2002809,0.0,73.375
140,140,2018-10-19,14.55,5.63125,1.2400964,0.0,26.458334
141,141,2018-10-20,16.45,7.7999997,1.275304,0.0,51.583332
142,142,2018-10-21,16.6,9.1,1.4112072,0.0,25.208334
143,143,2018-10-22,12.8,4.489583,1.5224568,0.0,19.708334
144,144,2018-10-23,15.85,6.7812505,1.5613323,0.0,69.875
145,145,2018-10-24,16.45,9.070833,1.2073208,0.0,19.416666
146,146,2018-10-25,13.5,6.5083337,0.9960679,0.0,74.291664
147,147,2018-10-26,10.55,4.5291667,0.9733154,0.0,51.416668
148,148,2018-10-27,7.45,0.20208333,1.2106628,0.0,46.75
149,149,2018-10-28,9.25,2.247917,1.1561402,0.0,35.875
150,150,2018-10-29,8.75,0.90416676,1.108412,0.0,33.458332
151,151,2018-10-30,9.0,2.9937503,0.88003314,0.0,86.0
152,152,2018-10-31,12.6,3.5125,1.1103308,0.0,67.541664
153,153,2018-11-01,11.45,7.4895844,0.39740807,0.0,71.333336
154,154,2018-11-02,10.45,2.0500002,0.8580916,0.0,12.75
155,155,2018-11-03,13.05,4.6875,1.2050083,0.0,47.916668
156,156,2018-11-04,12.9,6.4354167,0.8494807,0.0,82.0
157,157,2018-11-05,15.95,9.433332,0.79074556,0.0,82.958336
158,158,2018-11-06,14.85,10.541667,0.52252144,0.0,75.125
159,159,2018-11-07,13.55,9.220834,0.9074906,0.0,83.666664
160,160,2018-11-08,13.5,5.7000003,1.1323253,0.0,38.958332
161,161,2018-11-09,13.15,7.616667,1.0657814,0.0,66.041664
162,162,2018-11-10,12.8,9.189584,0.7103391,0.0,71.125
163,163,2018-11-11,12.95,7.3020835,0.98116076,0.0,56.958332
164,164,2018-11-12,13.05,8.345833,0.8357413,0.0,59.541668
165,165,2018-11-13,13.05,7.114584,0.9169115,0.0,40.083332
166,166,2018-11-14,14.3,7.995834,0.9076212,0.0,63.0
167,167,2018-11-15,15.15,11.241669,0.42068583,0.0,88.083336
168,168,2018-11-16,11.75,9.235416,0.3648626,0.0,99.5
169,169,2018-11-17,10.8,5.772917,0.73261315,0.0,26.416666
170,170,2018-11-18,10.75,3.689583,1.0031581,0.0,12.708333
171,171,2018-11-19,7.75,2.9541671,0.9245821,0.0,75.5
172,172,2018-11-20,4.7,2.075,0.37993398,0.0,90.166664
173,173,2018-11-21,7.1,1.0375,0.53533936,0.0,30.166666
174,174,2018-11-22,4.45,-0.07708324,0.22750042,0.0,72.916664
175,175,2018-11-23,9.3,5.402083,0.34053257,0.0,99.5
176,176,2018-11-24,8.7,6.2812495,0.3253628,0.0,99.916664
177,177,2018-11-25,7.8,4.1083326,0.43482858,0.0,88.708336
178,178,2018-11-26,7.75,3.502083,0.39648986,0.0,72.916664
179,179,2018-11-27,10.1,4.441666,0.30579484,0.0,95.625
180,180,2018-11-28,13.65,10.05,0.57180214,0.0,96.833336
181,181,2018-11-29,13.7,8.866668,0.8836365,0.0,80.208336
182,182,2018-11-30,11.05,5.65625,0.7502169,0.0,22.583334
183,183,2018-12-01,12.6,8.420833,0.31913593,0.0,98.458336
184,184,2018-12-02,14.45,11.147918,0.65885836,0.0,79.416664
185,185,2018-12-03,12.85,7.6687503,0.62974846,0.0,31.416666
186,186,2018-12-04,6.95,3.2375002,0.34387907,0.0,53.791668
187,187,2018-12-05,12.45,9.077083,0.29192203,0.0,99.333336
